Gene ID	Symbol	Name	Type	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein_coding	331 / 969 (34.16%)	1,673 / 16,405	309 / 1,067 (28.96%)	55 / 1,067 (5.15%)	75	Cancer Gene Census	add to survival plot
ENSG00000141510	TP53	tumor protein p53	protein_coding	331 / 969 (34.16%)	4,928 / 16,405	50 / 1,067 (4.69%)	545 / 1,067 (51.08%)	209	Cancer Gene Census	add to survival plot
ENSG00000155657	TTN	titin	protein_coding	206 / 969 (21.26%)	4,637 / 16,405	125 / 1,067 (11.72%)	156 / 1,067 (14.62%)	365		add to survival plot
ENSG00000039068	CDH1	cadherin 1	protein_coding	131 / 969 (13.52%)	404 / 16,405	108 / 1,067 (10.12%)	581 / 1,067 (54.45%)	114	Cancer Gene Census	add to survival plot
ENSG00000181143	MUC16	mucin 16, cell surface associated	protein_coding	127 / 969 (13.11%)	2,887 / 16,405	210 / 1,067 (19.68%)	149 / 1,067 (13.96%)	145	Cancer Gene Census	add to survival plot
ENSG00000107485	GATA3	GATA binding protein 3	protein_coding	127 / 969 (13.11%)	386 / 16,405	282 / 1,067 (26.43%)	93 / 1,067 (8.72%)	86	Cancer Gene Census	add to survival plot
ENSG00000055609	KMT2C	lysine methyltransferase 2C	protein_coding	88 / 969 (9.08%)	1,059 / 16,405	239 / 1,067 (22.40%)	150 / 1,067 (14.06%)	93	Cancer Gene Census	add to survival plot
ENSG00000095015	MAP3K1	mitogen-activated protein kinase kinase kinase 1	protein_coding	85 / 969 (8.77%)	384 / 16,405	156 / 1,067 (14.62%)	226 / 1,067 (21.18%)	0	Cancer Gene Census	add to survival plot
ENSG00000198626	RYR2	ryanodine receptor 2	protein_coding	79 / 969 (8.15%)	1,932 / 16,405	751 / 1,067 (70.38%)	23 / 1,067 (2.16%)	88		add to survival plot
ENSG00000131018	SYNE1	spectrin repeat containing nuclear envelope protein 1	protein_coding	69 / 969 (7.12%)	1,774 / 16,405	147 / 1,067 (13.78%)	271 / 1,067 (25.40%)	90		add to survival plot
ENSG00000143341	HMCN1	hemicentin 1	protein_coding	68 / 969 (7.02%)	1,336 / 16,405	761 / 1,067 (71.32%)	14 / 1,067 (1.31%)	0		add to survival plot
ENSG00000143631	FLG	filaggrin	protein_coding	63 / 969 (6.50%)	1,486 / 16,405	737 / 1,067 (69.07%)	12 / 1,067 (1.12%)	0		add to survival plot
ENSG00000042781	USH2A	usherin	protein_coding	61 / 969 (6.30%)	1,719 / 16,405	762 / 1,067 (71.42%)	27 / 1,067 (2.53%)	0		add to survival plot
ENSG00000163554	SPTA1	spectrin alpha, erythrocytic 1	protein_coding	59 / 969 (6.09%)	1,246 / 16,405	733 / 1,067 (68.70%)	15 / 1,067 (1.41%)	0		add to survival plot
ENSG00000198838	RYR3	ryanodine receptor 3	protein_coding	58 / 969 (5.99%)	1,251 / 16,405	66 / 1,067 (6.19%)	277 / 1,067 (25.96%)	63		add to survival plot
ENSG00000091656	ZFHX4	zinc finger homeobox 4	protein_coding	55 / 969 (5.68%)	1,583 / 16,405	542 / 1,067 (50.80%)	40 / 1,067 (3.75%)	61		add to survival plot
ENSG00000169876	MUC17	mucin 17, cell surface associated	protein_coding	54 / 969 (5.57%)	1,275 / 16,405	255 / 1,067 (23.90%)	117 / 1,067 (10.97%)	0		add to survival plot
ENSG00000198947	DMD	dystrophin	protein_coding	53 / 969 (5.47%)	1,093 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	67		add to survival plot
ENSG00000171862	PTEN	phosphatase and tensin homolog	protein_coding	52 / 969 (5.37%)	1,230 / 16,405	98 / 1,067 (9.18%)	252 / 1,067 (23.62%)	0	Cancer Gene Census	add to survival plot
ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	protein_coding	52 / 969 (5.37%)	1,566 / 16,405	752 / 1,067 (70.48%)	21 / 1,067 (1.97%)	63		add to survival plot
ENSG00000151914	DST	dystonin	protein_coding	51 / 969 (5.26%)	1,355 / 16,405	236 / 1,067 (22.12%)	124 / 1,067 (11.62%)	80		add to survival plot
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	protein_coding	51 / 969 (5.26%)	538 / 16,405	58 / 1,067 (5.44%)	515 / 1,067 (48.27%)	50	Cancer Gene Census	add to survival plot
ENSG00000127603	MACF1	microtubule actin crosslinking factor 1	protein_coding	50 / 969 (5.16%)	1,129 / 16,405	157 / 1,067 (14.71%)	220 / 1,067 (20.62%)	59		add to survival plot
ENSG00000179869	ABCA13	ATP binding cassette subfamily A member 13	protein_coding	48 / 969 (4.95%)	1,085 / 16,405	291 / 1,067 (27.27%)	67 / 1,067 (6.28%)	0		add to survival plot
ENSG00000183091	NEB	nebulin	protein_coding	46 / 969 (4.75%)	1,139 / 16,405	106 / 1,067 (9.93%)	166 / 1,067 (15.56%)	56		add to survival plot
ENSG00000117983	MUC5B	mucin 5B, oligomeric mucus/gel-forming	protein_coding	45 / 969 (4.64%)	1,098 / 16,405	149 / 1,067 (13.96%)	232 / 1,067 (21.74%)	0		add to survival plot
ENSG00000165323	FAT3	FAT atypical cadherin 3	protein_coding	45 / 969 (4.64%)	1,432 / 16,405	137 / 1,067 (12.84%)	341 / 1,067 (31.96%)	0	Cancer Gene Census	add to survival plot
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	protein_coding	44 / 969 (4.54%)	1,984 / 16,405	607 / 1,067 (56.89%)	24 / 1,067 (2.25%)	0	Cancer Gene Census	add to survival plot
ENSG00000205038	PKHD1L1	PKHD1 like 1	protein_coding	44 / 969 (4.54%)	1,072 / 16,405	609 / 1,067 (57.08%)	22 / 1,067 (2.06%)	0		add to survival plot
ENSG00000084674	APOB	apolipoprotein B	protein_coding	44 / 969 (4.54%)	1,219 / 16,405	158 / 1,067 (14.81%)	145 / 1,067 (13.59%)	0		add to survival plot
ENSG00000081479	LRP2	LDL receptor related protein 2	protein_coding	43 / 969 (4.44%)	1,149 / 16,405	123 / 1,067 (11.53%)	155 / 1,067 (14.53%)	0		add to survival plot
ENSG00000054654	SYNE2	spectrin repeat containing nuclear envelope protein 2	protein_coding	43 / 969 (4.44%)	960 / 16,405	131 / 1,067 (12.28%)	243 / 1,067 (22.77%)	60		add to survival plot
ENSG00000183117	CSMD1	CUB and Sushi multiple domains 1	protein_coding	43 / 969 (4.44%)	1,385 / 16,405	140 / 1,067 (13.12%)	495 / 1,067 (46.39%)	49		add to survival plot
ENSG00000086758	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	protein_coding	42 / 969 (4.33%)	830 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	46		add to survival plot
ENSG00000196712	NF1	neurofibromin 1	protein_coding	42 / 969 (4.33%)	873 / 16,405	198 / 1,067 (18.56%)	247 / 1,067 (23.15%)	42	Cancer Gene Census	add to survival plot
ENSG00000196218	RYR1	ryanodine receptor 1	protein_coding	42 / 969 (4.33%)	1,350 / 16,405	262 / 1,067 (24.55%)	86 / 1,067 (8.06%)	0		add to survival plot
ENSG00000198216	CACNA1E	calcium voltage-gated channel subunit alpha1 E	protein_coding	41 / 969 (4.23%)	977 / 16,405	746 / 1,067 (69.92%)	14 / 1,067 (1.31%)	43		add to survival plot
ENSG00000159216	RUNX1	RUNX family transcription factor 1	protein_coding	41 / 969 (4.23%)	269 / 16,405	208 / 1,067 (19.49%)	138 / 1,067 (12.93%)	36	Cancer Gene Census	add to survival plot
ENSG00000105877	DNAH11	dynein axonemal heavy chain 11	protein_coding	40 / 969 (4.13%)	1,041 / 16,405	307 / 1,067 (28.77%)	78 / 1,067 (7.31%)	0		add to survival plot
ENSG00000168702	LRP1B	LDL receptor related protein 1B	protein_coding	40 / 969 (4.13%)	1,780 / 16,405	105 / 1,067 (9.84%)	173 / 1,067 (16.21%)	0	Cancer Gene Census	add to survival plot
ENSG00000112159	MDN1	midasin AAA ATPase 1	protein_coding	40 / 969 (4.13%)	805 / 16,405	154 / 1,067 (14.43%)	311 / 1,067 (29.15%)	0		add to survival plot
ENSG00000186472	PCLO	piccolo presynaptic cytomatrix protein	protein_coding	39 / 969 (4.02%)	1,579 / 16,405	264 / 1,067 (24.74%)	94 / 1,067 (8.81%)	0		add to survival plot
ENSG00000065526	SPEN	spen family transcriptional repressor	protein_coding	39 / 969 (4.02%)	628 / 16,405	67 / 1,067 (6.28%)	350 / 1,067 (32.80%)	0	Cancer Gene Census	add to survival plot
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4	protein_coding	39 / 969 (4.02%)	214 / 16,405	51 / 1,067 (4.78%)	539 / 1,067 (50.52%)	33	Cancer Gene Census	add to survival plot
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	protein_coding	39 / 969 (4.02%)	1,151 / 16,405	67 / 1,067 (6.28%)	340 / 1,067 (31.87%)	37	Cancer Gene Census	add to survival plot
ENSG00000164199	ADGRV1	adhesion G protein-coupled receptor V1	protein_coding	38 / 969 (3.92%)	1,168 / 16,405	144 / 1,067 (13.50%)	229 / 1,067 (21.46%)	46		add to survival plot
ENSG00000163092	XIRP2	xin actin binding repeat containing 2	protein_coding	37 / 969 (3.82%)	1,366 / 16,405	121 / 1,067 (11.34%)	153 / 1,067 (14.34%)	51		add to survival plot
ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2	protein_coding	36 / 969 (3.72%)	1,100 / 16,405	115 / 1,067 (10.78%)	254 / 1,067 (23.81%)	0		add to survival plot
ENSG00000107611	CUBN	cubilin	protein_coding	36 / 969 (3.72%)	975 / 16,405	263 / 1,067 (24.65%)	98 / 1,067 (9.18%)	0		add to survival plot
ENSG00000167548	KMT2D	lysine methyltransferase 2D	protein_coding	36 / 969 (3.72%)	1,333 / 16,405	174 / 1,067 (16.31%)	100 / 1,067 (9.37%)	0	Cancer Gene Census	add to survival plot
ENSG00000066279	ASPM	assembly factor for spindle microtubules	protein_coding	36 / 969 (3.72%)	730 / 16,405	767 / 1,067 (71.88%)	16 / 1,067 (1.50%)	0		add to survival plot
ENSG00000083857	FAT1	FAT atypical cadherin 1	protein_coding	35 / 969 (3.61%)	1,065 / 16,405	107 / 1,067 (10.03%)	275 / 1,067 (25.77%)	0	Cancer Gene Census	add to survival plot
ENSG00000253729	PRKDC	protein kinase, DNA-activated, catalytic subunit	protein_coding	35 / 969 (3.61%)	741 / 16,405	463 / 1,067 (43.39%)	77 / 1,067 (7.22%)	0		add to survival plot
ENSG00000135111	TBX3	T-box transcription factor 3	protein_coding	35 / 969 (3.61%)	278 / 16,405	154 / 1,067 (14.43%)	163 / 1,067 (15.28%)	0	Cancer Gene Census	add to survival plot
ENSG00000007174	DNAH9	dynein axonemal heavy chain 9	protein_coding	35 / 969 (3.61%)	1,152 / 16,405	51 / 1,067 (4.78%)	536 / 1,067 (50.23%)	0		add to survival plot
ENSG00000005810	MYCBP2	MYC binding protein 2	protein_coding	35 / 969 (3.61%)	688 / 16,405	119 / 1,067 (11.15%)	323 / 1,067 (30.27%)	0		add to survival plot
ENSG00000101825	MXRA5	matrix remodeling associated 5	protein_coding	35 / 969 (3.61%)	912 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000132549	VPS13B	vacuolar protein sorting 13 homolog B	protein_coding	34 / 969 (3.51%)	797 / 16,405	599 / 1,067 (56.14%)	24 / 1,067 (2.25%)	0		add to survival plot
ENSG00000187775	DNAH17	dynein axonemal heavy chain 17	protein_coding	34 / 969 (3.51%)	860 / 16,405	392 / 1,067 (36.74%)	112 / 1,067 (10.50%)	0		add to survival plot
ENSG00000155816	FMN2	formin 2	protein_coding	34 / 969 (3.51%)	799 / 16,405	743 / 1,067 (69.63%)	27 / 1,067 (2.53%)	0		add to survival plot
ENSG00000123384	LRP1	LDL receptor related protein 1	protein_coding	34 / 969 (3.51%)	869 / 16,405	191 / 1,067 (17.90%)	91 / 1,067 (8.53%)	0		add to survival plot
ENSG00000189056	RELN	reelin	protein_coding	34 / 969 (3.51%)	1,044 / 16,405	237 / 1,067 (22.21%)	124 / 1,067 (11.62%)	0		add to survival plot
ENSG00000157423	HYDIN	HYDIN axonemal central pair apparatus protein	protein_coding	34 / 969 (3.51%)	985 / 16,405	105 / 1,067 (9.84%)	575 / 1,067 (53.89%)	0		add to survival plot
ENSG00000106772	PRUNE2	prune homolog 2 with BCH domain	protein_coding	34 / 969 (3.51%)	702 / 16,405	141 / 1,067 (13.21%)	184 / 1,067 (17.24%)	32		add to survival plot
ENSG00000128731	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	protein_coding	34 / 969 (3.51%)	941 / 16,405	90 / 1,067 (8.43%)	258 / 1,067 (24.18%)	0		add to survival plot
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	protein_coding	33 / 969 (3.41%)	756 / 16,405	180 / 1,067 (16.87%)	117 / 1,067 (10.97%)	0	Cancer Gene Census	add to survival plot
ENSG00000124942	AHNAK	AHNAK nucleoprotein	protein_coding	33 / 969 (3.41%)	982 / 16,405	187 / 1,067 (17.53%)	154 / 1,067 (14.43%)	43		add to survival plot
ENSG00000100345	MYH9	myosin heavy chain 9	protein_coding	33 / 969 (3.41%)	483 / 16,405	108 / 1,067 (10.12%)	397 / 1,067 (37.21%)	0	Cancer Gene Census	add to survival plot
ENSG00000124721	DNAH8	dynein axonemal heavy chain 8	protein_coding	33 / 969 (3.41%)	1,073 / 16,405	239 / 1,067 (22.40%)	127 / 1,067 (11.90%)	0		add to survival plot
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	protein_coding	32 / 969 (3.30%)	552 / 16,405	218 / 1,067 (20.43%)	115 / 1,067 (10.78%)	35	Cancer Gene Census	add to survival plot
ENSG00000165124	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	protein_coding	32 / 969 (3.30%)	749 / 16,405	125 / 1,067 (11.72%)	208 / 1,067 (19.49%)	0		add to survival plot
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	protein_coding	32 / 969 (3.30%)	568 / 16,405	140 / 1,067 (13.12%)	231 / 1,067 (21.65%)	32	Cancer Gene Census	add to survival plot
ENSG00000009694	TENM1	teneurin transmembrane protein 1	protein_coding	32 / 969 (3.30%)	884 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000275395	FCGBP	Fc fragment of IgG binding protein	protein_coding	32 / 969 (3.30%)	908 / 16,405	253 / 1,067 (23.71%)	91 / 1,067 (8.53%)	0		add to survival plot
